Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.4215,Tue Aug 28 17:40:05 +0000 2018,0.859,0.0,0.141,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",EA Sports is canceling three remaining Madden Classic qualifier events to review safety protocols after a deadly sh… https://t.co/6vUGIOg6WH,284
0.4939,Tue Aug 28 17:30:05 +0000 2018,0.849,0.0,0.151,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A mother was shoved into the path of an oncoming train. Her daughter jumped onto tracks to save her.… https://t.co/9GIoXUKbZk,285
-0.0772,Tue Aug 28 17:20:05 +0000 2018,0.584,0.219,0.197,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",10 John McCain quotes about defeat and determination https://t.co/J7jt6FgnYu https://t.co/Si6WxtlNmn,286
0.0,Tue Aug 28 17:10:09 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Kenya has introduced a new anti-poaching technique involving specially-trained sniffer dogs to crack down on illega… https://t.co/iZ9oMbfnhM,287
-0.6705,Tue Aug 28 17:00:07 +0000 2018,0.824,0.176,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The shooter who killed two people and wounded 10 others before taking his own life at an e-sports tournament in Jac… https://t.co/MLByifWnOy,288
0.0516,Tue Aug 28 16:50:09 +0000 2018,0.765,0.112,0.122,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","French President Emmanuel Macron says Europe can ""no longer rely"" on the US for security https://t.co/J7VSsdDhyQ https://t.co/JBaeYyKDVz",289
0.6486,Tue Aug 28 16:41:05 +0000 2018,0.741,0.0,0.259,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Sofia Sanchez had two wishes for her 11th birthday. The first came true earlier this month when Drake surprised her… https://t.co/q5H51xv17h,290
0.0,Tue Aug 28 16:30:08 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Hurricane Maria caused an estimated 2,975 deaths in Puerto Rico, a new report shows. Researchers calculated excess… https://t.co/wt9DcZDqYZ",291
0.0,Tue Aug 28 16:20:00 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Researchers used a manned submersible to bring back the first images of a deep-sea coral reef off the coast of Sout… https://t.co/FtwSF8MOQZ,292
0.0,Tue Aug 28 16:10:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The stories behind 5 of Aretha Franklin's biggest songs https://t.co/gaZyd1ontY https://t.co/Z7RxRaX1sC,293
-0.4767,Tue Aug 28 16:00:09 +0000 2018,0.876,0.124,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",A man was being held by French police Tuesday over an attack last month on a woman in the center of Paris that was… https://t.co/u7NzKcOslY,294
0.3818,Tue Aug 28 15:50:07 +0000 2018,0.885,0.0,0.115,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The preliminary US-Mexico trade deal marks the beginning of what could be a stronger and more modern NAFTA -- as we… https://t.co/PfAeGjPQDu,295
0.6124,Tue Aug 28 15:40:02 +0000 2018,0.783,0.0,0.217,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Health care was the top issue referenced in campaign advertisements ahead of the US Senate primaries in Arizona and… https://t.co/YagPGvkDrO,296
-0.8709,Tue Aug 28 15:30:07 +0000 2018,0.575,0.425,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Gun-related homicides and suicides kill more people than war, according to a study https://t.co/7FbypECrPV https://t.co/W8TASiHtz6",297
0.3612,Tue Aug 28 15:20:07 +0000 2018,0.705,0.093,0.203,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Top North Korean officials warned the United States in a letter that denuclearization talks are ""again at stake and… https://t.co/OKsCGQfR8T",298
-0.2732,Tue Aug 28 15:10:06 +0000 2018,0.846,0.154,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","President Trump has renewed his claims of bias against conservatives on the internet, accusing Google of rigging it… https://t.co/ssseAw7Hm9",299
-0.7506,Tue Aug 28 15:00:09 +0000 2018,0.652,0.348,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The Vatican knew of a cover-up involving abusive priests, Pennsylvania attorney general says https://t.co/D6enW5xMa6 https://t.co/aBHmDtGfvM",300
0.0258,Tue Aug 28 23:34:20 +0000 2018,0.922,0.0,0.078,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Brett Kavanaugh backed by Bob Bennett, Bill Clinton's Paula Jones-era lawyer. (via @nicoledarrah) https://t.co/ifUt1PuDVh",301
-0.5267,Tue Aug 28 23:28:45 +0000 2018,0.671,0.238,0.091,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Toddler's death after leaving immigration facility leads to $40 million legal claim. https://t.co/H2dXw2vJuI,302
-0.1779,Tue Aug 28 23:20:50 +0000 2018,0.759,0.135,0.105,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",.@USCG and @USNavy bomb technicians are working to retrieve what looks like an unexploded mine that was spotted flo… https://t.co/9nxUVCEhu3,303
0.0,Tue Aug 28 23:19:03 +0000 2018,1.0,0.0,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Google CEO slammed by lawmakers for declining to testify at Senate hearing. https://t.co/TDjJfdQd8r,304
0.0258,Tue Aug 28 23:11:53 +0000 2018,0.948,0.0,0.052,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Sen. @ChrisCoons on calls for postponement of Kavanaugh proceedings: ""At the end of the day what matters here is, a… https://t.co/3Q9ihRRuFs",305
0.7579,Tue Aug 28 22:56:52 +0000 2018,0.548,0.078,0.374,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",".@POTUS honors anniversary of MLK 'I Have a Dream' speech touting his policies, hope for America https://t.co/xPX2JgNWF3",306
-0.3182,Tue Aug 28 22:49:20 +0000 2018,0.887,0.113,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","Secretary Mattis: ""We took the step to suspend several of the largest exercises as a good-faith measure coming out… https://t.co/5VdOHKTBCq",307
0.0,Tue Aug 28 22:37:38 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@SenatorBerger: ""I think the fairest way to do it is to let the people elect the legislators and let the legislato… https://t.co/KOlrveb3lO",308
0.0,Tue Aug 28 22:26:59 +0000 2018,1.0,0.0,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",Phil Keating reports on the tight gubernatorial race in Florida. #SpecialReport  https://t.co/vRKSDUGh21 https://t.co/07aiV9PzT3,309
-0.4019,Tue Aug 28 22:20:42 +0000 2018,0.838,0.162,0.0,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",".@pdoocy reports on today's Arizona @GOP Senate primary, including problems with voting machines. #SpecialReport… https://t.co/SS3reyYSwW",310
0.0,Tue Aug 28 22:13:34 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Parents of baby misdiagnosed with terminal brain condition in utero left fate 'in God's hands'  https://t.co/auuUttgZpU,311
0.0772,Tue Aug 28 22:03:25 +0000 2018,0.78,0.099,0.121,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Florida Senate race between Scott, Nelson expected to be competitive and costly. https://t.co/z1qUScfXfV",312
-0.875,Tue Aug 28 21:55:00 +0000 2018,0.5,0.5,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Pope Francis facing calls to resign; sexual abuse scandal exposes rifts in the Vatican. https://t.co/AAQvL8xpIE,313
-0.6486,Tue Aug 28 21:49:00 +0000 2018,0.719,0.281,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Texas ex-cop Roy Oliver convicted of murdering unarmed teen Jordan Edwards. https://t.co/68b9xg76dM,314
-0.34,Tue Aug 28 21:43:00 +0000 2018,0.821,0.179,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",California to become first state eliminating bail for suspects awaiting trial. https://t.co/BNqyCuUQU6,315
